"","data","ano","mes","tipo","descrição","valor"
"1029",2016-05-07,"2016","May","pagamentos","saque ",50
"1030",2016-05-09,"2016","May","pagamentos","bco24h",60
"1031",2016-05-09,"2016","May","roupa","costura ",20
"1032",2016-05-10,"2016","May","pagamentos","banco",48
"1033",2016-05-14,"2016","May","pagamentos","saque ",60
"1034",2016-05-14,"2016","May","transporte","gasolina ",20
"1035",2016-05-15,"2016","May","educação","kung fu",120
"1036",2016-05-15,"2016","May","saúde","convênio ",278
"1037",2016-05-16,"2016","May","moradia","vigia",45
"1038",2016-05-21,"2016","May","alimentação","pão ",7
"1039",2016-05-21,"2016","May","moradia","luz",120
"1040",2016-05-22,"2016","May","telefonia","vivo ",80
"1041",2016-05-25,"2016","May","transporte","gasolina ",166
"1042",2016-05-25,"2016","May","alimentação","coop capuava",8.56
"1043",2016-05-25,"2016","May","alimentação","coop capuava",64.2
"1044",2016-05-25,"2016","May","alimentação","sacolao saude st",83.42
"1045",2016-05-25,"2016","May","transporte","carrefour pso 409",175.37
"1046",2016-05-25,"2016","May","equipamentos","mercadopago",58.07
"1047",2016-05-25,"2016","May","saúde","coop capuava",54.31
"1048",2016-05-25,"2016","May","alimentação","coop capuava",35.83
"1049",2016-05-25,"2016","May","fast food","pizzaria hosana",30
"1050",2016-05-25,"2016","May","alimentação","hitamax",8.24
"1051",2016-05-25,"2016","May","alimentação","sacolao saude st",85.8
"1052",2016-05-25,"2016","May","fast food","ramos pescados",8.69
"1053",2016-05-25,"2016","May","alimentação","coop capuava",46.55
"1054",2016-05-25,"2016","May","alimentação","coop capuava",20.01
"1055",2016-05-25,"2016","May","alimentação","coop capuava",60.53
"1056",2016-05-25,"2016","May","beleza","toque de beleza",11.9
"1057",2016-05-25,"2016","May","transporte","auto posto miro",22.5
"1058",2016-05-25,"2016","May","pet","mercadopago",13.99
"1059",2016-05-25,"2016","May","transporte","carrefour pso 409",166.35
"1060",2016-05-25,"2016","May","alimentação","pao do marques",14.71
"1061",2016-05-25,"2016","May","equipamentos","mercado pago repetidor ",56.26
"1062",2016-05-25,"2016","May","alimentação","sacolao saude st",108.76
"1063",2016-05-25,"2016","May","fast food","ramos pescados",13
"1064",2016-05-25,"2016","May","roupa","riachuelo 214",109.8
"1065",2016-05-25,"2016","May","alimentação","coop capuava",12.63
"1066",2016-05-25,"2016","May","alimentação","sup cent st andre 2800",18.28
"1067",2016-05-25,"2016","May","alimentação","assai atacadista",430.14
"1068",2016-05-25,"2016","May","alimentação","casa de carnes gr",8.22
"1069",2016-05-25,"2016","May","alimentação","hitamax minimercado",18.27
"1070",2016-05-25,"2016","May","alimentação","panificad",10.97
"1071",2016-05-25,"2016","May","transporte","a p irmaos batist",34.29
"1072",2016-05-25,"2016","May","alimentação","coop capuava",67.72
"1073",2016-05-25,"2016","May","alimentação","hitamax minimercado",13.49
"1074",2016-05-25,"2016","May","transporte","carrefour pso 409",70.08
"1075",2016-05-25,"2016","May","alimentação","carrefour sto 248",50.25
"1076",2016-05-25,"2016","May","alimentação","sacolao saude st",86.93
"1077",2016-05-25,"2016","May","fast food","pizzaria brasital",50.5
"1078",2016-05-25,"2016","May","alimentação","zeca frutas frescas lt",27
"1079",2016-05-25,"2016","May","lazer","churrasco ",19
"1080",2016-05-26,"2016","May","lazer","netflix ",23
"1081",2016-05-26,"2016","May","investimento","pic (6/21)",82
"1082",2016-05-26,"2016","May","telefonia","tim erick & aline",100
"1083",2016-05-27,"2016","May","seguros","mafre",260
"1084",2016-05-27,"2016","May","beleza","cabelo ",30
"1085",2016-05-27,"2016","May","fast food","rodrisabo",12
"1086",2016-05-27,"2016","May","pagamentos","saque ",80
"1087",2016-05-30,"2016","May","moradia","conta água",62
"1088",2016-06-04,"2016","Jun","equipamentos","climatizador",67
"1089",2016-06-10,"2016","Jun","pagamentos","banco",48
"1090",2016-06-15,"2016","Jun","educação","kung fu",130
"1091",2016-06-15,"2016","Jun","saúde","convênio ",278
"1092",2016-06-16,"2016","Jun","moradia","vigia",45
"1093",2016-06-18,"2016","Jun","alimentação","pao do ma",7.33
"1094",2016-06-21,"2016","Jun","moradia","luz",120
"1095",2016-06-22,"2016","Jun","telefonia","vivo ",80
"1096",2016-06-22,"2016","Jun","pagamentos","saque",30
"1097",2016-06-22,"2016","Jun","beleza","cabelo ",30
"1098",2016-06-26,"2016","Jun","investimento","pic (7/21)",82
"1099",2016-06-26,"2016","Jun","telefonia","tim erick & aline",100
"1100",2016-06-26,"2016","Jun","lazer","netflix ",23
"1101",2016-06-27,"2016","Jun","alimentação","sacolao saude st",119.68
"1102",2016-06-27,"2016","Jun","alimentação","coop capuava",39.77
"1103",2016-06-27,"2016","Jun","alimentação","sagrado coracao",26.96
"1104",2016-06-27,"2016","Jun","transporte","carrefour pso 409",148.93
"1105",2016-06-27,"2016","Jun","alimentação","pao do marques",7.4
"1106",2016-06-27,"2016","Jun","equipamentos","ferragens marukai ltda",18.2
"1107",2016-06-27,"2016","Jun","alimentação","hitamax",17.89
"1108",2016-06-27,"2016","Jun","pet","dr hato",90
"1109",2016-06-27,"2016","Jun","alimentação","coop capuava",26.02
"1110",2016-06-27,"2016","Jun","alimentação","hitamax",17.48
"1111",2016-06-27,"2016","Jun","equipamentos","decathlon",60
"1112",2016-06-27,"2016","Jun","alimentação","sacolao saude st",79.76
"1113",2016-06-27,"2016","Jun","alimentação","coop capuava",17.66
"1114",2016-06-27,"2016","Jun","lazer","lucena bar",55
"1115",2016-06-27,"2016","Jun","lazer","lucena bar",20
"1116",2016-06-27,"2016","Jun","beleza","toque de beleza",18.2
"1117",2016-06-27,"2016","Jun","transporte","carrefour pso 409",163.68
"1118",2016-06-27,"2016","Jun","alimentação","pao do marques",6.95
"1119",2016-06-27,"2016","Jun","transporte","a p irmaos batist",85
"1120",2016-06-27,"2016","Jun","alimentação","coop capuava",38.27
"1121",2016-06-27,"2016","Jun","presentes","mercado pago cama pet ",50
"1122",2016-06-27,"2016","Jun","alimentação","coop capuava",49.28
"1123",2016-06-27,"2016","Jun","saúde","carrefour sto 248",27.24
"1124",2016-06-27,"2016","Jun","pet","pet shop kakazu, rs 39,80 [ 01/06/2016 [ 13h50. utilizado 80% limite.",39.8
"1125",2016-06-27,"2016","Jun","equipamentos","decathlon",89.97
"1126",2016-06-27,"2016","Jun","alimentação","sup cent st andre 2800",13.34
"1127",2016-06-27,"2016","Jun","alimentação","coop capuava",43.76
"1128",2016-06-27,"2016","Jun","alimentação","sacolao saude st",83.56
"1129",2016-06-27,"2016","Jun","alimentação","ramos pescados",21.9
"1130",2016-06-27,"2016","Jun","fast food","pastelaria naito",21.5
"1131",2016-06-27,"2016","Jun","equipamentos","kalunga abc plaza",55.2
"1132",2016-06-27,"2016","Jun","roupa","lojas renner fl 2",209.7
"1133",2016-06-27,"2016","Jun","transporte","carrefour pso 409",91.95
"1134",2016-06-27,"2016","Jun","saúde","coop capuava (1/3)",53.76
"1135",2016-06-27,"2016","Jun","alimentação","extra 1338",73.79
"1136",2016-06-27,"2016","Jun","alimentação","monigas",60
"1137",2016-06-27,"2016","Jun","transporte","carrefour pso 409",101.95
"1138",2016-06-27,"2016","Jun","alimentação","sacolao saude st",142.14
"1139",2016-06-27,"2016","Jun","alimentação","sacolao saude st",168.08
"1140",2016-06-27,"2016","Jun","transporte","carrefour pso 409",109.52
"1141",2016-06-27,"2016","Jun","alimentação","coop capuava",5.9
"1142",2016-06-27,"2016","Jun","saúde","coop capuava",116.95
"1143",2016-06-27,"2016","Jun","alimentação","coop capuava",31.91
"1144",2016-06-27,"2016","Jun","alimentação","hitamax minimercado",9.98
"1145",2016-06-27,"2016","Jun","seguros","mafre",260
"1146",2016-06-30,"2016","Jun","moradia","conta água",62
"1147",2016-07-04,"2016","Jul","equipamentos","climatizador",67
"1148",2016-07-08,"2016","Jul","pagamentos","saque ",25
"1149",2016-07-08,"2016","Jul","alimentação","hitamax",27.85
"1150",2016-07-09,"2016","Jul","alimentação","pao do ma",5.92
"1151",2016-07-09,"2016","Jul","pagamentos","saque ",80
"1152",2016-07-10,"2016","Jul","pagamentos","banco",48
"1153",2016-07-15,"2016","Jul","educação","kung fu",130
"1154",2016-07-15,"2016","Jul","saúde","convênio ",278
"1155",2016-07-16,"2016","Jul","moradia","vigia",45
"1156",2016-07-16,"2016","Jul","alimentação","ovos ",15
"1157",2016-07-18,"2016","Jul","pagamentos","saque ",20
"1158",2016-07-21,"2016","Jul","moradia","luz",120
"1159",2016-07-22,"2016","Jul","alimentação","hitamax",9.29
"1160",2016-07-23,"2016","Jul","alimentação","pao do ma",8.15
"1161",2016-07-23,"2016","Jul","pagamentos","cx itau av itamarati",30
"1162",2016-07-25,"2016","Jul","educação","aline amoroso esportes",99
"1163",2016-07-25,"2016","Jul","equipamentos","cec industrial",27.9
"1164",2016-07-25,"2016","Jul","alimentação","hitamax minimercado",7.88
"1165",2016-07-25,"2016","Jul","saúde","extra farma loja 18",14.93
"1166",2016-07-25,"2016","Jul","alimentação","sacolao saude st",117.15
"1167",2016-07-25,"2016","Jul","alimentação","carrefour sto 248",29.75
"1168",2016-07-25,"2016","Jul","transporte","carrefour pso 409",155.95
"1169",2016-07-25,"2016","Jul","alimentação","kartex descartaveis",30.5
"1170",2016-07-25,"2016","Jul","saúde","coop capuava (2/3)",53.76
"1171",2016-07-25,"2016","Jul","alimentação","assai atacadista",482.89
"1172",2016-07-25,"2016","Jul","alimentação","compras pão de açúcar ",475
"1173",2016-07-25,"2016","Jul","alimentação","sacolao saude st",92.55
"1174",2016-07-25,"2016","Jul","transporte","auto posto miro",30
"1175",2016-07-25,"2016","Jul","transporte","carrefour pso 409",169.73
"1176",2016-07-25,"2016","Jul","alimentação","carrefour sto 248",19.37
"1177",2016-07-25,"2016","Jul","roupa","mercado pago meias ",83.06
"1178",2016-07-25,"2016","Jul","alimentação","coop capuava",15.25
"1179",2016-07-25,"2016","Jul","lazer","bruti s cafe e lanches",12.5
"1180",2016-07-25,"2016","Jul","alimentação","pao do marques",10.34
"1181",2016-07-25,"2016","Jul","alimentação","sacolao saude st",88.82
"1182",2016-07-25,"2016","Jul","alimentação","coop capuava",39.1
"1183",2016-07-25,"2016","Jul","corolla","mercadopago (1/3)",52.04
"1184",2016-07-25,"2016","Jul","corolla","webmotors (1/3)",49.97
"1185",2016-07-25,"2016","Jul","investimento","uber*uber",7
"1186",2016-07-25,"2016","Jul","investimento","uber*uber",7.39
"1187",2016-07-25,"2016","Jul","fast food","divino fogao c t da fa",19.83
"1188",2016-07-25,"2016","Jul","transporte","carrefour 409 psc",144.05
"1189",2016-07-25,"2016","Jul","transporte","auto posto miro",30
"1190",2016-07-25,"2016","Jul","lazer","nuuvem*200775717415471",21.99
"1191",2016-07-25,"2016","Jul","saúde","extra farma loja 18",19.2
"1192",2016-07-25,"2016","Jul","equipamentos","google play*metactrl",4.99
"1193",2016-07-25,"2016","Jul","presentes","armarinhos fernan",57.6
"1194",2016-07-25,"2016","Jul","alimentação","sacolao saude st",74.67
"1195",2016-07-25,"2016","Jul","alimentação","luiz a r gois",19.2
"1196",2016-07-25,"2016","Jul","fast food","pastelaria naito",5
"1197",2016-07-26,"2016","Jul","investimento","pic (8/21)",82
"1198",2016-07-26,"2016","Jul","lazer","netflix ",23
"1199",2016-07-26,"2016","Jul","telefonia","tim erick & aline",100
"1200",2016-07-27,"2016","Jul","seguros","mafre",260
"1201",2016-07-30,"2016","Jul","moradia","conta água",62
"1202",2016-07-30,"2016","Jul","alimentação","pao do ma",7.3
